meantestscore,meantrainscore,stdtestscore,stdtrainscore,paramC,paramgamma,meanfittime
0.940655105973025,1.0,0.00027248816230696765,0.0,10,0.01,7.197669982910156
0.940655105973025,1.0,0.00027248816230696765,0.0,1,0.01,7.1910115877787275
0.940655105973025,1.0,0.00027248816230696765,0.0,100,0.01,7.2027037143707275
0.9408477842003854,0.9994219653179192,0.00036046795633662036,0.00011799083539418567,0.1,0.01,7.1631003220876055
0.9429672447013487,0.9693641618497111,0.0018927632663187377,0.0013296891851486028,0.1,0.01,11.409971952438354
0.9450867052023122,0.9716763005780346,0.0024637209735153156,0.0010619175185476257,0.1,0.01,10.80937671661377
0.9532755298651252,0.9835260115606936,0.0025452494823935893,0.0019423742922596995,0.1,0.01,8.58340342839559
0.9555876685934489,1.0,0.0010899526492278184,0.0,1,0.1,7.787736018498738
0.9555876685934489,1.0,0.0010899526492278184,0.0,100,0.01,7.7887857755025225
0.9555876685934489,1.0,0.0010899526492278184,0.0,100,0.1,7.735690593719482
0.9555876685934489,1.0,0.0010899526492278184,0.0,0.1,0.1,7.777853647867839
0.9555876685934489,1.0,0.0010899526492278184,0.0,10,0.1,7.8255391120910645
0.9555876685934489,1.0,0.0010899526492278184,0.0,10,0.01,7.733944098154704
0.9560693641618497,0.9995183044315992,0.0014737050617320017,0.00024561751028868875,1,0.01,7.8270353476206465
0.9564547206165703,1.0,0.0028153447391526852,0.0,1,10,8.003230730692545
0.9564547206165703,1.0,0.0028153447391526852,0.0,10,10,8.003524700800577
0.9564547206165703,1.0,0.0028153447391526852,0.0,10,1,8.014840364456177
0.9564547206165703,1.0,0.0028153447391526852,0.0,1,10,8.047263224919638
0.9564547206165703,1.0,0.0028153447391526852,0.0,1,1,8.01812974611918
0.9564547206165703,1.0,0.0028153447391526852,0.0,100,1,7.966306368509929
0.9564547206165703,1.0,0.0028153447391526852,0.0,0.1,1,8.008676687876383
0.9564547206165703,1.0,0.0028153447391526852,0.0,0.1,10,8.0512166817983
0.9564547206165703,1.0,0.0028153447391526852,0.0,100,10,7.988404273986816
0.9564547206165703,1.0,0.0028153447391526852,0.0,100,10,7.935824632644653
0.9564547206165703,1.0,0.0028153447391526852,0.0,10,10,7.987762371699016
0.9564547206165703,1.0,0.0028153447391526852,0.0,0.1,10,7.980784813563029
0.9565510597302505,1.0,0.0029125657914895902,0.0,10,1,8.038556337356567
0.9565510597302505,1.0,0.0029125657914895902,0.0,100,10,7.984310944875081
0.9565510597302505,1.0,0.002755366020438353,0.0,10,1,7.959774971008301
0.9565510597302505,1.0,0.0029125657914895902,0.0,10,10,7.985006332397461
0.9565510597302505,1.0,0.0029125657914895902,0.0,100,1,8.011822621027628
0.9565510597302505,1.0,0.002755366020438353,0.0,100,0.1,7.9859622319539385
0.9565510597302505,1.0,0.002755366020438353,0.0,10,10,8.007976055145264
0.9565510597302505,1.0,0.002755366020438353,0.0,100,0.01,7.980701367060344
0.9565510597302505,1.0,0.0029125657914895902,0.0,100,0.1,8.001455307006836
0.9565510597302505,1.0,0.002755366020438353,0.0,100,1,8.02140204111735
0.9565510597302505,1.0,0.002755366020438353,0.0,10,0.1,7.988308986028035
0.9565510597302505,1.0,0.002755366020438353,0.0,1,10,8.052539189656576
0.9565510597302505,1.0,0.0029125657914895902,0.0,10,0.1,7.9826340675354
0.9565510597302505,1.0,0.0029125657914895902,0.0,0.1,0.1,7.975751241048177
0.9565510597302505,1.0,0.002755366020438353,0.0,0.1,0.1,8.013299703598022
0.9565510597302505,1.0,0.0029125657914895902,0.0,0.1,1,7.943561712900798
0.9565510597302505,1.0,0.002755366020438353,0.0,0.1,1,7.997925599416097
0.9565510597302505,1.0,0.0029125657914895902,0.0,0.1,10,7.954963604609172
0.9565510597302505,1.0,0.002755366020438353,0.0,0.1,10,8.00460171699524
0.9565510597302505,1.0,0.002755366020438353,0.0,1,0.1,8.013960917790731
0.9565510597302505,1.0,0.0029125657914895902,0.0,1,1,8.01871951421102
0.9565510597302505,1.0,0.0029125657914895902,0.0,1,0.1,8.00822138786316
0.9565510597302505,1.0,0.002755366020438353,0.0,1,1,8.004600683848063
0.9565510597302505,1.0,0.0029125657914895902,0.0,1,10,8.041701714197794
0.9565510597302505,1.0,0.002755366020438353,0.0,100,10,7.98783278465271
0.9566473988439307,1.0,0.0024862211754458265,0.0,10,0.01,8.056347926457724
0.9570327552986513,0.9974470134874759,0.000758574939692837,0.000379287469846435,1,0.01,8.179525375366211
0.9578998073217726,1.0,0.0025011088604522777,0.0,1,0.1,8.039804935455322
0.9578998073217726,1.0,0.0025011088604522777,0.0,10,0.01,8.001823663711548
0.9578998073217726,1.0,0.0025011088604522777,0.0,100,0.01,8.03997270266215
0.9578998073217726,1.0,0.0025011088604522777,0.0,0.1,1,8.046018679936727
0.9578998073217726,1.0,0.0025011088604522777,0.0,1,1,8.007902224858602
0.9578998073217726,1.0,0.0025011088604522777,0.0,100,0.1,8.03141967455546
0.9578998073217726,1.0,0.0025011088604522777,0.0,0.1,0.1,7.969836393992106
0.9578998073217726,1.0,0.0025011088604522777,0.0,10,0.1,7.9831085205078125
0.9578998073217726,1.0,0.0025011088604522777,0.0,100,1,8.02764399846395
0.9578998073217726,1.0,0.0025011088604522777,0.0,10,1,8.023896058400473
0.9582851637764933,0.9979287090558766,0.0007209359126731912,0.0001802339781682904,1,0.01,8.168708562850952
