in_sample_acc,validation_acc
0.8993135011441648,0.8747591522157996
0.9122004094905456,0.8930635838150289
0.9414669396603638,0.9195568400770713
0.9473684210526315,0.9234104046242775
0.9565217391304348,0.9296724470134875
0.9636276044803084,0.9354527938342967
0.9651933036251957,0.9373795761078998
0.9686860171022522,0.9455684007707129
0.9719378537877875,0.9417148362235067
0.9745874984945201,0.9407514450867052
0.9745874984945201,0.941233140655106
0.9794050343249427,0.9465317919075145
0.9827773094062388,0.9436416184971098
0.9834999397808021,0.947495183044316
0.9838612549680839,0.9513487475915221
0.9863904612790557,0.9479768786127167
0.9861495844875346,0.9494219653179191
0.9895218595688305,0.9436416184971098
0.9897627363603517,0.9489402697495183
0.9889196675900277,0.9489402697495183
0.9869926532578586,0.9494219653179191
0.9857882693002529,0.9421965317919075
0.988558352402746,0.9484585741811176
0.98940142117307,0.9455684007707129
0.9919306274840419,0.9513487475915221
0.993014573045887,0.9552023121387283
0.9891605443815489,0.9446050096339114
0.9934963266289293,0.9532755298651252
0.9939780802119715,0.9523121387283237
0.9939780802119715,0.9527938342967245
