0,1,2,3,4,5,6,7,8,9
253,0,1,1,0,0,2,0,1,0
0,232,5,1,1,0,0,3,8,8
0,8,234,1,0,0,1,4,7,3
0,0,4,236,0,1,1,6,5,5
0,2,0,0,223,4,3,4,2,20
1,1,2,11,1,211,6,2,19,4
3,1,1,0,0,3,246,0,4,0
0,5,2,1,0,1,0,241,4,4
4,5,10,4,0,1,0,2,229,3
0,12,0,8,7,0,0,6,7,218
