Alg.,Time,Ein,Etest
Batch Gradient Descent,0.22021690499968827,0.9826589595375722,0.9844961240310077
Mini Batch Gradient Descent,1.0230391009999948,0.9980732177263969,0.9864341085271318
Scipy Optimize,1.7462638160004644,0.9980732177263969,0.9844961240310077
